"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene1488",5863,23888,12744,19721,11335,14268,7038,6632,19569,6758,12101,2558,20913,20700,23743,23628,15668,8179,16669,13962
"Gene1489",7615,30866,16529,25383,14806,18360,9126,8568,24979,8714,15545,3218,26974,27125,30494,29972,20318,10630,21586,18220
"Gene1490",6528,26332,14018,21884,12649,15925,7711,7148,21744,7328,13401,2791,23042,23040,25959,25815,17206,8955,18381,14997
"Gene1491",2421,9642,5309,8246,4785,5962,2870,2776,8097,2679,4952,1052,8628,8613,9705,9603,6531,3379,6854,5733
"Gene1492",2804,11556,6197,9529,5613,7070,3364,3164,9513,3263,5756,1163,10113,10058,11585,11398,7555,3975,8123,6951
"Gene1493",2553,10155,5550,8525,5031,6226,3093,2845,8440,2749,5190,1041,8901,8929,10069,9974,6901,3506,7103,6039
"Gene1494",9674,38999,20961,31795,18504,23369,11493,10744,32112,10885,19724,4152,33805,33585,38467,37903,25366,13355,26671,22842
"Gene1495",7007,28589,15250,23479,13887,17495,8542,8051,23491,8212,14596,3097,25131,24669,28114,28350,19160,9959,20002,16884
"Gene1496",8081,32726,17512,26648,15672,19834,9734,9035,27083,9177,16440,3402,28713,28748,32478,32227,21656,11176,23019,19264
"Gene1497",3203,13111,7008,10733,6340,7967,3899,3682,10845,3743,6584,1467,11471,11450,12909,12786,8617,4572,8962,7650
"Gene1498",1297,5022,2647,4046,2449,2986,1428,1347,4095,1312,2560,535,4359,4264,4849,5003,3280,1753,3488,2922
"Gene1499",2465,9876,5397,8249,4816,6008,2895,2780,8172,2856,4943,1063,8640,8757,9833,9932,6628,3396,6963,5918
"Gene1500",2222,9015,4659,7285,4252,5384,2516,2464,7290,2504,4454,925,7737,7773,8735,8654,5801,3137,6189,5274
"Gene1501",1715,7204,3879,5915,3436,4372,2155,1997,5924,2036,3619,756,6180,6288,7316,7049,4786,2551,4982,4279
"Gene1502",2649,10817,5766,8921,5198,6539,3191,2968,9047,3071,5347,1123,9428,9576,10606,10638,7209,3657,7605,6416
"Gene1503",9232,38005,20281,30993,18126,22929,11004,10486,31221,10799,19150,4006,33315,32643,37692,37095,24758,12983,26372,22096
"Gene1504",4386,17784,9257,14590,8510,10828,5219,4933,14408,5013,8759,1921,15452,15522,17758,17642,11697,6097,12316,10459
"Gene1505",349,1208,684,1100,604,727,411,367,1088,351,639,114,1109,1131,1247,1204,831,421,884,764
"Gene1506",1333,5358,3002,4654,2632,3257,1639,1520,4468,1586,2838,541,4784,4871,5401,5429,3693,1899,3854,3253
"Gene1507",2006,7998,4228,6524,3847,4746,2308,2164,6361,2230,4069,826,6977,6939,7898,7817,5291,2717,5323,4781
"Gene1508",3134,12790,6772,10579,6107,7645,3789,3474,10439,3579,6340,1342,11058,11101,12470,12494,8470,4351,8706,7361
"Gene1509",5850,23152,12546,19157,11041,14111,6796,6400,19049,6341,11740,2357,20208,19950,23119,22697,15311,7899,16252,13593
"Gene1510",2187,8695,4751,7189,4030,5317,2546,2386,7214,2421,4473,882,7750,7562,8584,8566,5724,2962,6141,5164
"Gene1511",3696,15249,8126,12508,7537,9268,4491,4178,12785,4413,7699,1631,13284,13414,15058,15032,10131,5299,10707,8993
"Gene1512",12867,51509,27806,42490,24854,31037,15098,14256,42299,14544,26032,5508,45495,44695,51296,50593,33895,17845,35780,30417
"Gene1513",4069,16521,8899,13681,8050,10079,4911,4562,13929,4649,8400,1691,14459,14226,16316,15968,10953,5768,11443,9621
"Gene1514",5493,22181,11790,18014,10652,13481,6526,6127,18110,6256,11099,2285,19398,19092,21828,21703,14751,7484,15399,13067
"Gene1515",1068,4496,2446,3467,2091,2555,1255,1147,3613,1257,2212,432,3821,3831,4312,4342,2870,1487,2948,2581
"Gene1516",4024,16269,8831,13378,7757,9767,4763,4521,13251,4627,8307,1676,14305,14113,16048,15825,10679,5623,11323,9483
"Gene1517",2167,8962,4888,7176,4332,5367,2610,2451,7431,2561,4432,928,7822,7766,8968,8766,5974,3173,6190,5326
"Gene1518",6995,28428,15136,23334,13851,17127,8238,7824,23570,8082,14504,3047,25062,24623,28056,28044,18786,10142,20070,16813
"Gene1519",5453,22432,12119,18511,10749,13468,6555,6112,18697,6350,11311,2319,19767,19663,22152,22029,14887,7732,15542,13337
"Gene1520",3928,16181,8553,13280,7892,9743,4674,4577,13230,4635,8077,1655,14071,14335,16098,15857,10628,5539,11157,9532
"Gene1521",3359,13343,7238,11072,6424,7964,3975,3703,11044,3771,6856,1412,11720,11520,13269,13251,8827,4659,9404,7883
"Gene1522",4325,18445,9706,15025,8922,10977,5522,4978,15124,5225,9220,1935,15826,15816,17961,18158,12129,6350,12859,10802
"Gene1523",1322,5443,2905,4430,2537,3177,1564,1450,4479,1557,2628,579,4753,4706,5245,5159,3527,1860,3636,3210
"Gene1524",10664,43039,22875,35481,20659,26036,12720,12039,35459,12152,21981,4538,38014,37575,42594,42268,28340,15102,30243,25404
"Gene1525",2936,11753,6486,9627,5548,6950,3429,3296,9588,3257,5900,1260,10078,10223,11456,11414,7757,4123,8107,6837
"Gene1526",10763,43755,23688,35905,20978,26187,12893,12115,36232,12393,22043,4532,38450,38799,43346,42776,28884,15303,30521,26138
"Gene1527",25285,102452,54708,83899,48977,61372,30302,28249,84413,28869,51987,10713,89700,88566,100973,100238,67640,35213,71218,60637
"Gene1528",1802,7131,3865,5953,3405,4339,2114,1995,5932,2074,3559,766,6287,6258,7067,6985,4865,2589,5062,4212
"Gene1529",2579,10936,5621,8878,5230,6591,3165,2906,9044,3096,5408,1156,9328,9612,10758,10562,7317,3810,7539,6450
"Gene1530",5778,23604,12660,19456,11398,14164,6983,6498,19430,6656,11774,2402,20845,20685,23087,22888,15551,7936,16347,13986
"Gene1531",3546,14096,7559,11729,6878,8532,4131,4007,12003,3981,7255,1538,12534,12293,13906,13906,9599,4858,9877,8555
"Gene1532",7209,29468,15586,24159,14150,17753,8728,8141,24162,8245,14901,3015,26043,25741,28853,28781,19718,10115,20544,17437
"Gene1533",6649,26209,14264,21713,12832,16213,7972,7418,21805,7582,13313,2751,23459,23207,26366,26366,17584,9285,18766,15894
"Gene1534",2832,11781,6470,9613,5669,7004,3504,3225,9694,3222,5963,1150,10261,10262,11638,11386,7588,4118,8152,6901
"Gene1535",10265,41296,22186,33983,20152,24681,12339,11392,34099,11555,20767,4345,36383,36428,41061,40476,26961,14406,28551,24398
"Gene1536",2646,10890,5903,8980,5272,6593,3273,2985,8892,3198,5549,1175,9611,9368,10744,10587,7076,3744,7564,6457
"Gene1537",5618,22907,12288,18672,10959,13773,6805,6477,19024,6399,11439,2326,19976,19836,22791,22265,15008,7953,15783,13644
"Gene1538",1246,4959,2676,4117,2437,3013,1525,1397,4152,1429,2562,546,4441,4387,5009,5086,3374,1809,3445,2958
"Gene1539",7416,30072,15924,24301,14329,17691,8610,8074,24661,8207,14919,3137,25942,25952,29401,29114,19606,10381,20882,17562
"Gene1540",11079,45146,24084,36637,21507,27069,13156,12368,37221,12509,22594,4604,39232,39282,44323,43884,29512,15541,31346,26417
"Gene1541",4384,18597,9977,15204,8913,11151,5445,4990,15416,5170,9265,1893,16076,16292,18406,18283,12366,6352,12913,10967
"Gene1542",3449,14299,7687,11672,6758,8485,4176,3891,11606,3979,7119,1533,12480,12255,13909,13937,9331,4891,9979,8373
"Gene1543",15438,62872,33968,51770,30521,37945,18425,17480,51951,18029,32060,6658,55045,54847,63015,61882,41278,22021,44117,37236
"Gene1544",17337,70582,37915,57778,33634,42362,20947,19556,58254,19808,35331,7469,61481,61297,69830,68349,46210,24295,48720,41647
"Gene1545",3918,15729,8599,13059,7630,9449,4700,4433,12975,4474,8054,1678,14001,13885,15770,15674,10472,5408,11007,9371
"Gene1546",5487,22348,11854,18376,10900,13355,6573,6116,18306,6350,11479,2346,19381,19336,22046,21946,14730,7792,15765,13129
"Gene1547",5365,20870,11359,17297,10073,12542,6165,5892,17273,5958,10750,2281,18163,18271,21005,20769,13957,7301,14786,12313
"Gene1548",2957,12168,6502,9961,5747,7400,3577,3347,10013,3371,6185,1251,10493,10630,11865,11861,8039,4219,8379,7222
"Gene1549",1162,4580,2356,3831,2177,2648,1333,1254,3754,1308,2326,467,3968,3987,4534,4397,2904,1553,3113,2586
"Gene1550",5738,23615,12664,19559,11551,14443,7071,6521,19997,6753,12182,2571,21176,20697,23476,23599,15680,8204,16782,14055
"Gene1551",3493,13982,7724,11497,6786,8463,4070,3855,11744,4048,7077,1536,12427,12454,13840,13657,9250,4843,9617,8341
"Gene1552",19767,79390,43331,65755,38635,47751,23257,22242,65596,22329,40206,8596,69965,69873,79265,77886,52246,27276,55446,46977
"Gene1553",2592,10154,5450,8483,5068,6400,3055,2771,8466,2987,5258,1102,9155,9028,10249,10077,6922,3570,7283,6069
"Gene1554",9867,40522,21421,33210,19498,24103,11938,11006,33150,11515,20547,4296,35280,35130,39950,39936,26726,14072,27913,23899
"Gene1555",6924,27859,14702,22771,13325,16436,8031,7639,22726,7668,13721,2802,24037,23725,27040,26699,18096,9487,19110,16270
"Gene1556",3458,14156,7697,11563,6843,8593,4202,3867,11724,3992,7132,1447,12434,12459,13850,13850,9342,4885,10051,8238
"Gene1557",11257,44898,24389,36744,21619,27233,13185,12417,37222,12780,22899,4687,39735,39607,44953,44186,29892,15672,31193,26487
"Gene1558",8476,34071,18203,27974,16384,20378,10018,9232,28050,9719,17095,3614,29596,29606,33625,33241,22051,11733,23702,19946
"Gene1559",6208,25695,13970,21103,12195,15357,7556,7032,20965,7249,12966,2640,22313,22223,25289,25116,16806,8864,17895,15228
"Gene1560",5883,23669,12772,19733,11557,14510,6977,6501,19765,6598,12057,2474,20966,21104,23744,23308,15586,8199,16688,14051
"Gene1561",6564,26284,14072,21702,12760,15834,7727,7233,21882,7436,13327,2801,22828,23149,26027,25928,17348,9114,18478,15798
"Gene1562",6683,26722,14472,22149,13070,16312,8008,7278,22157,7548,13563,2822,23483,23597,26818,26329,17797,9382,18676,15769
"Gene1563",3226,13158,7107,10714,6394,7927,3919,3800,10907,3771,6702,1406,11464,11388,13136,12949,8801,4610,9110,7859
"Gene1564",8878,35663,19291,29324,17532,21315,10387,9833,29518,10077,18215,3835,31212,31269,35106,35207,23555,12337,25095,20932
"Gene1565",6002,23823,12803,19604,11534,14542,7077,6654,19551,6874,11966,2484,20995,20795,23770,23670,15526,8346,16758,14139
"Gene1566",1807,7091,3912,5972,3530,4336,2181,1984,5975,2029,3658,746,6381,6288,7229,7018,4699,2473,5177,4324
"Gene1567",5660,23322,12417,18830,11347,13971,6862,6464,19017,6502,11810,2499,20172,20068,22554,22887,15533,7947,16007,13660
"Gene1568",8981,37000,19850,30202,17787,22174,11053,10063,30853,10394,18684,3825,31878,32332,36837,36353,24366,12970,25465,21945
"Gene1569",5830,23884,12657,19392,11549,14303,7038,6499,19753,6676,12025,2488,20615,20819,23441,23220,15681,8182,16748,13924
"Gene1570",7167,29003,15546,24087,13715,17280,8687,7930,23823,8118,14529,3039,25188,25355,28654,28660,19170,10165,20196,17082
"Gene1571",11664,47006,25075,38492,22424,28202,13689,12950,38996,13468,23263,4935,40983,40593,46497,46195,30956,16081,32730,27922
"Gene1572",10047,40254,21571,32953,19087,24476,11761,11028,33158,11278,20142,4178,35438,35078,39474,39546,26407,13816,28192,24019
"Gene1573",7720,31213,16880,25691,14865,18587,9268,8624,25456,8756,15754,3260,27264,27112,30924,30758,20668,10756,21685,18506
"Gene1574",11736,47796,25794,39387,23345,28358,14183,13260,39750,13644,24194,5116,42314,42145,47378,47063,31650,16705,33512,28262
"Gene1575",5356,21320,11277,17696,10339,12562,6403,5846,17640,5966,10954,2225,18710,18545,21312,21068,13878,7377,14951,12580
"Gene1576",11276,46285,24733,37994,22170,27750,13668,12719,37904,12864,23361,4849,40594,40115,45495,45522,30578,16114,31823,27297
"Gene1577",12207,48678,26280,39772,23587,29685,14197,13542,39976,13902,24460,5052,42624,42610,48077,48008,31732,17058,33792,28591
"Gene1578",7055,28571,15745,23851,13888,17214,8531,8080,23831,8147,14727,3019,25236,25153,28543,28221,18947,9992,20021,17056
"Gene1579",3895,15901,8586,13090,7605,9631,4504,4329,13156,4375,7900,1630,14033,13814,15587,15540,10275,5593,11003,9405
"Gene1580",3441,14359,7549,11918,6871,8564,4047,3961,11674,3907,7232,1512,12356,12400,13980,14016,9395,5064,9875,8410
"Gene1581",2542,10016,5510,8504,4827,6026,2871,2867,8530,2858,5211,1148,8986,8834,10119,10097,6838,3552,7039,6103
"Gene1582",2794,10847,5900,9206,5284,6682,3161,3022,8816,3134,5480,1082,9564,9475,10879,10752,7318,3795,7511,6472
"Gene1583",14437,58809,31671,48481,28313,35111,17155,16025,48856,16547,29725,6239,51651,51404,58289,57640,38491,20338,41220,34552
"Gene1584",4585,18915,10060,15472,9030,11377,5461,5140,15354,5198,9381,1879,16357,16385,18522,18424,12498,6444,13206,10969
"Gene1585",4884,19724,10449,16155,9439,11825,5720,5455,16319,5541,10066,2138,17354,16992,19344,19291,12748,6650,13600,11702
"Gene1586",1392,5938,3241,4819,2738,3486,1731,1644,4751,1607,3034,609,5240,5111,5800,5822,3854,2087,4101,3353
"Gene1587",2071,8448,4487,6702,4134,4938,2360,2203,6818,2287,4113,834,7278,7056,8273,8159,5416,2782,5886,4918
"Gene1588",2741,10794,5667,8757,5151,6509,3131,3007,8801,3008,5297,1119,9293,9385,10606,10467,7168,3662,7432,6412
"Gene1589",14463,57631,31161,47540,28220,35289,17422,16138,48151,16266,29530,6139,50593,51148,57678,57004,38166,20110,40279,34200
"Gene1590",1797,7610,4107,6217,3590,4621,2231,2081,6264,2161,3788,801,6675,6563,7469,7331,5030,2648,5118,4500
"Gene1591",957,3778,2157,3203,1801,2349,1088,1058,3190,1037,1913,396,3325,3328,3877,3805,2539,1331,2589,2307
"Gene1592",5561,22529,12318,18780,10892,13664,6759,6163,18794,6552,11439,2460,19954,19902,22385,22527,15008,7953,15887,13514
"Gene1593",7330,29195,15806,23976,14093,18051,8510,8034,24391,8235,14742,3102,25566,25431,28922,28893,19547,10341,20514,17270
"Gene1594",7141,28566,15555,23705,13577,17179,8400,7996,23748,8076,14718,3046,25011,25185,28562,28172,19068,9929,19911,16967
"Gene1595",11048,45075,24129,36546,21802,27041,13198,12551,37227,12806,22677,4747,39776,39395,44468,44020,29455,15692,31587,26396
"Gene1596",4276,17938,9707,14676,8554,10901,5298,5054,14907,5170,9075,1927,15783,15576,18002,17487,11654,6207,12553,10532
"Gene1597",6409,25812,13926,21205,12560,15612,7647,7193,21403,7431,13073,2722,22824,22416,25537,25539,16957,8841,18126,15300
"Gene1598",3793,15341,8272,12418,7471,9124,4521,4194,12691,4345,7730,1571,13308,13565,14920,15387,10158,5294,10696,9088
"Gene1599",6549,25837,13921,21249,12237,15855,7688,7300,21450,7424,13144,2752,22754,22496,25730,25219,17086,8965,18049,15269
"Gene1600",1842,7447,4093,6127,3608,4604,2334,2034,6121,2168,3773,788,6667,6625,7425,7448,4850,2548,5332,4547
"Gene1601",2277,9574,5144,7766,4570,5759,2862,2581,7711,2836,4752,1014,8388,8380,9412,9520,6337,3304,6667,5699
"Gene1602",12232,49576,26617,40851,23755,30028,14483,13558,40875,13971,24821,5212,43706,43375,48652,48715,32517,16855,34624,28959
"Gene1603",3244,12768,6761,10326,6020,7420,3759,3403,10092,3628,6428,1337,11071,10811,12348,12370,8231,4358,8801,7258
"Gene1604",2667,11154,5911,9060,5315,6798,3363,3077,9142,3045,5657,1146,9673,9701,11127,10894,7377,3885,7600,6554
"Gene1605",6190,25381,13505,20415,12046,15111,7513,6966,20693,7028,12782,2591,21742,21960,24985,24928,16840,8783,17517,15002
"Gene1606",1853,7469,4089,6197,3550,4452,2161,2072,6020,2094,3736,810,6630,6487,7306,7187,4855,2599,5191,4408
"Gene1607",9984,40726,21826,33675,19502,24570,12067,11504,33482,11553,20398,4176,35709,35454,40376,40142,26775,14173,28710,24175
"Gene1608",13033,52634,27914,43149,25023,31392,15497,14406,43693,14714,26622,5423,45758,45277,51595,51777,34442,18000,36510,30626
"Gene1609",702,2861,1472,2454,1406,1726,828,798,2362,868,1424,277,2538,2479,2871,2827,1897,1020,2026,1590
"Gene1610",1533,6275,3277,5149,3007,3675,1882,1720,5205,1748,3170,653,5599,5356,6185,6208,4129,2172,4309,3637
"Gene1611",3455,14097,7534,11619,6753,8468,4041,3819,11368,3960,7167,1508,12474,12370,14068,14067,9203,4823,9721,8438
"Gene1612",608,2589,1459,2145,1263,1564,752,771,2253,749,1362,274,2364,2346,2619,2533,1738,895,1933,1598
"Gene1613",1548,6772,3640,5650,3280,4144,1972,1783,5470,1873,3354,701,5987,5863,6654,6600,4447,2361,4619,3981
"Gene1614",2935,11901,6280,9954,5647,7391,3507,3323,9821,3495,6111,1278,10483,10548,11736,11650,7960,4220,8431,7157
"Gene1615",3143,12572,6766,10376,6118,7704,3663,3473,10303,3564,6444,1359,10947,11045,12570,12539,8361,4386,8858,7333
"Gene1616",5622,23511,12652,19350,11266,14107,6813,6394,19414,6602,11893,2441,20923,20403,23314,22902,15531,8220,16386,13877
"Gene1617",5969,24136,12865,20140,11616,14494,7127,6716,19769,6970,12177,2477,21331,21050,24052,23701,16054,8470,16818,13891
"Gene1618",8866,36107,19328,29728,17227,21625,10621,9940,29824,10231,18131,3641,31779,31238,35817,35314,23721,12479,25044,21288
"Gene1619",1819,7459,4066,6234,3566,4550,2208,1999,6117,2188,3748,772,6564,6530,7435,7525,4972,2541,5252,4526
"Gene1620",3270,13214,7316,10656,6304,8082,3999,3610,10899,3640,6724,1371,11525,11425,13055,12817,8801,4588,9367,7910
"Gene1621",5344,21768,11502,17879,10522,13079,6357,6003,18088,6029,11114,2201,18966,19082,21717,21456,14449,7473,15244,12765
"Gene1622",10381,42234,22719,35046,20301,25476,12489,11791,35058,11965,21554,4474,37066,36571,41897,41762,27830,14713,29711,25154
"Gene1623",1866,7691,4020,6304,3705,4653,2215,2040,6290,2145,3808,800,6533,6572,7390,7447,5022,2700,5341,4485
"Gene1624",4641,19156,10285,16071,9304,11586,5787,5299,15979,5393,9822,2033,16859,16954,19512,19282,12667,6705,13598,11356
"Gene1625",4845,19566,10326,16012,9343,11802,5702,5446,15972,5370,9879,2141,17202,16801,19201,19065,13007,6713,13629,11420
"Gene1626",3186,12928,7069,10723,6316,7881,3850,3594,10373,3776,6411,1334,11251,11490,12783,12947,8465,4534,9021,7904
"Gene1627",1696,7107,3788,5897,3346,4184,2111,1931,5796,1953,3497,726,6103,6022,7061,7002,4564,2402,4925,4135
"Gene1628",6236,24836,13357,20286,11927,15066,7240,6831,20438,7027,12457,2630,21774,21287,24524,24405,15970,8772,17599,14526
"Gene1629",1799,7613,4097,6213,3507,4599,2189,2140,6219,2107,3838,823,6669,6555,7280,7416,4919,2507,5332,4474
"Gene1630",8676,35275,19056,28882,16986,21487,10409,9834,29232,9959,17899,3663,30651,30664,34763,34569,23108,12184,24722,20864
"Gene1631",5076,20516,11031,16733,9761,12470,6100,5639,16883,5771,10340,2167,17900,18110,20318,20186,13658,7175,14113,12024
"Gene1632",9340,37902,20416,31329,18575,22958,11225,10622,31382,10746,19265,4131,33284,33465,37829,37771,25147,13178,26436,22520
"Gene1633",15360,62203,33426,51301,30074,37714,18228,17234,51418,17667,31846,6488,54815,54455,61127,61143,41288,21580,43543,36849
"Gene1634",4823,19056,10155,15635,9239,11682,5648,5491,15662,5386,9572,2023,17044,16759,18897,18564,12759,6534,13410,11442
"Gene1635",7886,32300,17457,26737,15605,19369,9532,8761,26681,9168,16457,3477,28088,28239,32192,31592,21346,11290,22664,19026
"Gene1636",4966,20524,10741,16405,9904,12073,5973,5540,16636,5837,10214,2076,17634,17561,20079,19789,13417,6963,13948,12025
"Gene1637",7821,31667,16932,25966,15458,19138,9645,8758,26318,9085,16191,3327,27878,28150,31326,31408,20991,11032,22325,18763
"Gene1638",6608,26673,14251,21487,12563,15819,7945,7422,21725,7519,13496,2729,23252,23117,26167,26081,17570,9097,18533,15604
"Gene1639",5313,21464,11656,17995,10461,13068,6274,5911,17751,6083,10839,2265,18968,18619,21254,21072,14286,7376,14855,12657
"Gene1640",14376,58725,31311,48342,28247,35206,17237,16108,48236,16594,29750,6272,51488,50957,57556,57873,38521,20122,41041,34641
"Gene1641",1648,6771,3654,5567,3156,4011,1922,1782,5518,1860,3388,728,5805,5817,6453,6622,4386,2261,4561,3904
"Gene1642",7688,30679,16521,25508,14844,18479,8997,8491,25477,8728,15460,3288,27209,27156,30383,30368,20499,10650,21649,18241
"Gene1643",26661,108942,58252,88782,52023,64864,31958,29988,89415,30904,54669,11303,94891,94111,107464,106385,71352,37477,76166,63863
"Gene1644",773,3069,1719,2552,1492,1867,898,850,2550,872,1561,369,2630,2718,3057,3031,2046,1053,2197,1835
"Gene1645",573,2255,1261,1893,1128,1349,714,635,1836,627,1146,225,2044,2018,2275,2243,1530,761,1586,1370
"Gene1646",4698,19063,10427,15441,9241,11456,5522,5340,15764,5472,9890,2007,16772,16776,18912,18776,12461,6555,13147,11312
"Gene1647",8125,32304,17451,26589,15387,19622,9550,8978,26626,9220,16186,3436,28304,28430,32075,31753,21118,11256,22323,19270
"Gene1648",3075,11933,6399,9929,5837,7149,3424,3341,9809,3414,5995,1220,10690,10468,11712,11761,7975,4164,8343,7040
"Gene1649",3212,13458,7243,11059,6419,8111,3986,3814,11122,3882,6730,1405,11910,11682,13639,13318,8779,4612,9424,8161
"Gene1650",1386,5690,2913,4623,2712,3454,1651,1477,4576,1609,2775,579,4949,4776,5567,5542,3670,1957,3911,3225
"Gene1651",773,3006,1616,2507,1513,1836,914,863,2502,898,1541,313,2665,2696,2966,2933,1965,1023,2133,1836
"Gene1652",5238,21335,11559,17435,10314,12802,6197,5835,17480,5938,10961,2283,18684,18618,20861,20837,13878,7490,14879,12592
"Gene1653",1836,7535,4128,6414,3741,4576,2194,2050,6133,2118,3862,820,6719,6498,7482,7367,5022,2619,5369,4474
"Gene1654",8373,33661,18275,27832,16268,20337,9943,9209,27895,9550,16897,3560,29267,29376,33459,33093,22344,11660,23378,19757
"Gene1655",2187,8660,4599,7208,4249,5293,2692,2383,7286,2532,4333,953,7817,7794,8761,8658,5803,3062,6139,5274
"Gene1656",13653,54572,29337,44544,26022,32870,16279,15121,45136,15239,27548,5681,47859,47601,54280,53422,36067,18836,38083,32105
"Gene1657",1566,6660,3529,5248,3202,3925,1929,1776,5358,1888,3261,685,5736,5724,6472,6390,4242,2288,4550,3895
"Gene1658",2151,8667,4704,7244,4220,5191,2590,2397,7194,2464,4374,898,7577,7622,8414,8546,5718,3014,5997,5112
"Gene1659",8099,33293,17999,27252,16133,19996,9868,9387,27846,9479,16929,3474,29566,29146,33233,33084,22101,11714,23392,20014
"Gene1660",6933,28583,15445,23325,13761,17144,8339,7993,23625,8104,14368,2935,24960,25068,28249,28119,18816,9929,19889,16890
"Gene1661",8678,35159,18569,28769,17047,21257,10379,9751,28979,9927,17720,3656,30833,30465,34596,34789,23172,11972,24815,20585
"Gene1662",918,3902,1934,3106,1813,2355,1149,1046,3166,1056,1881,373,3342,3382,3717,3777,2513,1313,2612,2165
"Gene1663",6525,26882,14472,22284,12835,16196,7895,7360,21905,7482,13508,2836,23305,23303,26544,26058,17763,9397,18733,15623
"Gene1664",3939,15562,8446,12808,7568,9576,4574,4415,13041,4403,8000,1692,13667,13911,15730,15470,10386,5506,10898,9303
"Gene1665",15811,64112,34483,52369,30780,38580,18992,17550,52837,18339,32347,6709,55789,55901,63131,63050,42321,22236,44519,37867
"Gene1666",1269,5252,2747,4415,2441,3171,1484,1444,4395,1446,2641,546,4630,4602,5208,5130,3327,1788,3738,3109
"Gene1667",3672,15282,8159,12486,7202,9109,4460,4278,12483,4401,7664,1601,13390,13078,15102,14886,10024,5196,10551,8998
"Gene1668",2621,10588,5702,8725,4940,6408,3046,2833,8642,3049,5357,1108,9157,9274,10645,10380,6814,3687,7275,6077
"Gene1669",3091,12165,6515,10330,5935,7427,3668,3333,10102,3404,6222,1302,10698,10582,12269,11829,8044,4258,8412,7337
"Gene1670",6044,24391,13177,20075,11656,14655,7233,6839,20153,6841,12339,2472,21807,21173,24259,23719,16285,8341,17163,14421
"Gene1671",6341,26117,13875,21117,12381,15369,7622,7168,21523,7435,13141,2775,22562,22529,25683,25441,17190,9053,18067,15492
"Gene1672",6109,23849,12900,19866,11638,14549,7105,6565,19777,6769,11947,2485,21234,20786,23820,23903,15741,8307,16694,14378
"Gene1673",8497,34816,18834,28443,16770,20988,10469,9542,28668,9792,17478,3715,30566,30694,34396,33953,23116,12056,24284,20423
"Gene1674",1206,4831,2620,4060,2326,2926,1454,1295,4015,1380,2465,508,4288,4276,4916,4885,3223,1675,3517,2958
"Gene1675",1125,4724,2531,3817,2300,2891,1321,1246,3932,1431,2300,487,4166,4010,4533,4740,3067,1653,3299,2707
"Gene1676",9252,37305,19800,30643,17816,22587,10945,10336,30839,10765,18711,3881,32696,32567,36912,36512,24449,12925,25882,22187
"Gene1677",1119,4491,2392,3678,2114,2671,1299,1252,3715,1296,2201,469,3888,4092,4507,4410,3051,1611,3122,2656
"Gene1678",12429,50798,27314,41762,24375,30263,14807,14075,41515,14416,25488,5249,44613,44355,49896,49426,33616,17414,34998,29762
"Gene1679",6024,24357,13426,20205,11640,14883,7285,6824,20230,6929,12247,2634,21438,21486,24226,24155,16328,8579,17199,14582
"Gene1680",2819,11618,5948,9204,5500,6818,3312,3153,9385,3277,5714,1190,10106,9856,11461,11122,7502,3947,7994,6741
"Gene1681",7368,29611,16022,24885,14404,17981,8788,8187,24425,8418,15162,3094,26081,25722,29635,29488,19746,10136,20602,17803
"Gene1682",9679,39320,21307,32158,18969,23591,11649,10831,32690,11135,19810,4066,34728,34276,38838,38630,25832,13733,27536,23533
"Gene1683",4648,18643,10087,15239,8910,11200,5662,5207,15403,5183,9453,1984,16445,16394,18474,18435,12413,6504,13117,10907
"Gene1684",504,1852,981,1570,940,1201,607,569,1583,525,962,210,1689,1733,1869,1909,1289,680,1326,1124
"Gene1685",1141,4573,2586,3704,2250,2745,1346,1241,3871,1314,2267,494,3976,3984,4393,4495,3045,1647,3147,2654
"Gene1686",1410,5690,3180,4662,2675,3292,1648,1574,4693,1539,2852,567,4980,4890,5504,5531,3637,1961,3992,3313
"Gene1687",7759,31494,16674,26149,14958,18611,9319,8844,26007,8725,15855,3199,27756,27547,30967,30817,20829,10942,22041,18648
"Gene1688",1687,6992,3734,5777,3354,4187,2023,1884,5569,1890,3526,754,6071,6049,6671,6626,4518,2471,4834,4066
"Gene1689",5571,23259,12321,18936,11202,13949,6760,6342,19061,6417,11869,2498,20345,20029,22775,22434,15155,7894,16022,13705
"Gene1690",3231,12998,6862,10504,6108,7704,3811,3532,10656,3481,6513,1351,11167,11186,12614,12639,8369,4471,9031,7611
"Gene1691",11201,45108,23939,36779,21528,27001,13115,12290,37070,12626,22815,4806,39461,39117,44595,44305,29646,15627,31343,26626
"Gene1692",5601,22338,12170,18664,10857,13722,6545,6200,18537,6436,11243,2290,19474,19660,22166,21984,14715,7879,15698,13094
"Gene1693",6000,23754,13073,19888,11611,14434,7096,6697,19984,6654,12197,2508,20927,20940,23703,23348,15892,8253,16908,14299
"Gene1694",6080,25077,13447,20362,11995,15151,7430,6945,20745,6904,12573,2541,21769,21715,24520,24509,16567,8416,17370,14764
"Gene1695",3425,14175,7571,11678,6719,8451,4103,3888,11674,3983,7058,1535,12363,12210,13871,13904,9354,4717,9813,8302
